Title,Description_1,Description_2,Price,Image_urls
Sage Green Cotton Corduroy Baggy Shorts  ,"Available for Waist 19"" - 63"" | Petite - Tall","Primary Fabric: 100% Cotton Corduroy,Pattern: Solid, Stripes,Color: Sage Green,Button Type: Shell,Style: Baggy, Pleated,Length: Mid-Thigh Length,High Rise waist,Half Elasticated Waist,This garment has Slash Pocket,Number of Pockets: 2,Garment Transparency: Opaque,Comfort Fit,Exposed Zip at Front,Functional Specialty: Fold Up Hem","3,200","https://cdn.shopify.com/s/files/1/0534/2501/2925/products/sage-green-cotton-corduroy-baggy-shorts-baggy-shorts-273010_160x.jpg?v=1625844335,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/sage-green-cotton-corduroy-baggy-shorts-baggy-shorts-734767_160x.jpg?v=1625844335,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/sage-green-cotton-corduroy-baggy-shorts-baggy-shorts-353930_160x.jpg?v=1625844335,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/sage-green-cotton-corduroy-baggy-shorts-baggy-shorts-623506_160x.jpg?v=1625844335,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/sage-green-cotton-corduroy-baggy-shorts-baggy-shorts-769585_160x.jpg?v=1625844335,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/sage-green-cotton-corduroy-baggy-shorts-baggy-shorts-191176_160x.jpg?v=1625844335,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/sage-green-cotton-corduroy-baggy-shorts-baggy-shorts-706707_160x.jpg?v=1625844335"
Teal Solid Cotton Short Shorts  ,"Available for Waist 19"" - 63"" | Petite - Tall","Primary Fabric: 100% Cotton,Pattern: Solid,Color: Teal,Style: Short,Length: Mid-Thigh Length,Mid Rise waist,Full Elasticated Waist,This garment has Slash Pocket, Mobile Pocket,Number of Pockets: 3,Garment Transparency: Opaque,Relaxed Fit","2,460","https://cdn.shopify.com/s/files/1/0534/2501/2925/products/teal-solid-cotton-short-shorts-short-shorts-555233_160x.jpg?v=1611250049,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/teal-solid-cotton-short-shorts-short-shorts-481250_160x.jpg?v=1611250049,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/teal-solid-cotton-short-shorts-short-shorts-764228_160x.jpg?v=1611250049,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/teal-solid-cotton-short-shorts-short-shorts-890716_160x.jpg?v=1611250050,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/teal-solid-cotton-short-shorts-short-shorts-167677_160x.jpg?v=1611250050"
White Crinkled Cotton Frilled Shorts  ,"Available for Waist 19"" - 63"" | Petite - Tall","Primary Fabric: 100% Cotton - Yarn Dyed, Crinkled,This is a lined garment,Color: White, Red,Style: Short, Flared, Paneled,Length: Mid-Thigh Length,Mid Rise waist,Half Elasticated Waist,This garment has Inseam Pocket,Number of Pockets: 2,Garment Transparency: Translucent,Relaxed Fit,Frill at Hem","3,560","https://cdn.shopify.com/s/files/1/0534/2501/2925/products/frilled-short-shorts-short-short-801486_160x.jpg?v=1625850974,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/frilled-short-shorts-short-short-788036_160x.jpg?v=1625850974,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/frilled-short-shorts-short-shorts-689966_160x.jpg?v=1625850975,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/frilled-short-shorts-short-short-386538_160x.jpg?v=1625850974,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/frilled-short-shorts-short-short-773334_160x.jpg?v=1625850974"
White Hand Beaded Short Cotton Shorts  ,"Available for Waist 19"" - 63"" | Petite - Tall","Primary Fabric: 100% Cotton,This garment is Hand Beaded,Pattern: Solid,Color: White,Button Type: Wood,Style: Short,Length: Mid-Thigh Length,Mid Rise waist,Banded waist,This garment has Welt Pocket,Number of Pockets: 2,Garment Transparency: Opaque,Slim Fit,Concealed Zip at the Left","3,020","https://cdn.shopify.com/s/files/1/0534/2501/2925/products/white-hand-beaded-short-shorts-short-shorts-244024_160x.jpg?v=1625990991,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/white-hand-beaded-short-shorts-short-shorts-249070_160x.jpg?v=1625990991,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/white-hand-beaded-short-shorts-short-shorts-128854_160x.jpg?v=1625990991,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/white-hand-beaded-short-shorts-short-shorts-924083_160x.jpg?v=1625990991,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/white-hand-beaded-short-shorts-short-shorts-984262_160x.jpg?v=1625990991"
Brick Red Cotton Straight Shorts  ,"Available for Waist 19"" - 63"" | Petite - Tall","Primary Fabric: 100% Cotton,Pattern: Solid,Color: Brick Red,Style: Straight ,Length: Mid-Thigh Length,Mid Rise waist,Full Elasticated Waist,This garment has Inseam Pocket,Number of Pockets: 2,Garment Transparency: Opaque,Comfort Fit,Drawstring at Waist","1,880","https://cdn.shopify.com/s/files/1/0534/2501/2925/products/brick-red-mid-rise-straight-shorts-straight-fit-shorts-981452_160x.jpg?v=1625849079,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/brick-red-mid-rise-straight-shorts-straight-fit-shorts-804680_160x.jpg?v=1625849079,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/brick-red-mid-rise-straight-shorts-straight-fit-shorts-674000_160x.jpg?v=1625849079,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/brick-red-mid-rise-straight-shorts-straight-fit-shorts-133586_160x.jpg?v=1625849079,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/brick-red-mid-rise-straight-shorts-straight-fit-shorts-492663_160x.jpg?v=1625849079"
Blue Sanganeri Print Floral Short Shorts  ,"Available for Waist 19"" - 63"" | Petite - Tall","Craft: Sanganeri Hand Block Print,Primary Fabric: 100% Cotton - Hand Block Printed in Sanganer (Rajasthan),This is a lined garment,Pattern: Floral,Color: Blue,Style: Short,Length: Micro Length,Mid Rise waist,Half Elasticated Waist,This garment has Slash Pocket,Number of Pockets: 2,Garment Transparency: Opaque,Relaxed Fit,Drawstring at Waist","2,730","https://cdn.shopify.com/s/files/1/0534/2501/2925/products/blue-sanganeri-print-floral-short-shorts-short-shorts-390135_160x.jpg?v=1625849045,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/blue-sanganeri-print-floral-short-shorts-short-shorts-771677_160x.jpg?v=1625849045,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/blue-sanganeri-print-floral-short-shorts-short-shorts-264892_160x.jpg?v=1625849045,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/blue-sanganeri-print-floral-short-shorts-short-shorts-369121_160x.jpg?v=1625849045,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/blue-sanganeri-print-floral-short-shorts-short-shorts-868659_160x.jpg?v=1625849045"
Red Yarn Dyed Mid Rise Flared Shorts  ,"Available for Waist 19"" - 63"" | Petite - Tall","Primary Fabric: 100% Cotton - Yarn Dyed, Crinkled,Pattern: Ditsy, Geometric,Color: Red,Style: Pleated, Flared,Length: Mid-Thigh Length,Mid Rise waist,Half Elasticated Waist,This garment has Inseam Pocket,Number of Pockets: 2,Garment Transparency: Opaque,Comfort Fit,Drawstring at waist","4,210","https://cdn.shopify.com/s/files/1/0534/2501/2925/products/red-yarn-dyed-cotton-pleated-shorts-pleated-shorts-935772_160x.jpg?v=1625848592,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/red-yarn-dyed-cotton-pleated-shorts-pleated-shorts-589634_160x.jpg?v=1625848592,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/red-yarn-dyed-cotton-pleated-shorts-pleated-shorts-300859_160x.jpg?v=1625848592,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/red-yarn-dyed-cotton-pleated-shorts-pleated-shorts-431036_160x.jpg?v=1625848592"
Cotton Grey Striped Paperbag Shorts  ,"Available for Waist 19"" - 63"" | Petite - Tall","Primary Fabric: 100% Cotton - Yarn Dyed,Pattern: Stripes,Color: Cloudy Grey,Button Type: Metal,Style: Paperbag, Pleated,Length: Mid-Thigh Length,High Rise waist,Detached Belt at Waist,This garment has Inseam Pocket,Number of Pockets: 2,Garment Transparency: Opaque,Relaxed Fit,Concealed Zip at Side,Belt Loops ","3,550","https://cdn.shopify.com/s/files/1/0534/2501/2925/products/cotton-grey-striped-paperbag-shorts-paperbag-shorts-213255_160x.jpg?v=1625849646,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/cotton-grey-striped-paperbag-shorts-paperbag-shorts-183865_160x.jpg?v=1625849646,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/cotton-grey-striped-paperbag-shorts-paperbag-shorts-875873_160x.jpg?v=1625849646,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/cotton-grey-striped-paperbag-shorts-paperbag-shorts-688935_160x.jpg?v=1625849646,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/cotton-grey-striped-paperbag-shorts-paperbag-shorts-646168_160x.jpg?v=1625849646,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/cotton-grey-striped-paperbag-shorts-paperbag-shorts-981638_160x.jpg?v=1625849646"
Beige Solid Cotton Short Shorts  ,"Available for Waist 19"" - 63"" | Petite - Tall","Primary Fabric: 100% Cotton,Pattern: Solid,Color: Beige,Style: Short,Length: Mid-Thigh Length,Mid Rise waist,Full Elasticated Waist,This garment has Slash Pocket, Mobile Pocket,Number of Pockets: 3,Garment Transparency: Opaque,Relaxed Fit","2,460","https://cdn.shopify.com/s/files/1/0534/2501/2925/products/beige-solid-cotton-short-shorts-short-shorts-131671_160x.jpg?v=1611250601,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/beige-solid-cotton-short-shorts-short-shorts-521202_160x.jpg?v=1611250601,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/beige-solid-cotton-short-shorts-short-shorts-114410_160x.jpg?v=1611250601,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/beige-solid-cotton-short-shorts-short-shorts-535108_160x.jpg?v=1611250601,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/beige-solid-cotton-short-shorts-short-shorts-786730_160x.jpg?v=1611250601"
Melon Orange Handspun Mirror Work Shorts  ,"Available for Waist 19"" - 63"" | Petite - Tall","Primary Fabric: 100% Cotton Muslin - Yarn Dyed, Azo-Free Dyed, Handspun, Hand Woven in Murshidabad (West Bengal),Pattern: Solid,Color: Melon Orange,Button Type: Shell,Style: Straight ,Length: Mid-Thigh Length,Mid Rise waist,Half Elasticated Waist,This garment has Patch Pocket,Number of Pockets: 2,Garment Transparency: Opaque,Relaxed Fit,Exposed Zip at front","2,610","https://cdn.shopify.com/s/files/1/0534/2501/2925/products/melon-orange-handspun-mirror-work-shorts-straight-shorts-828968_160x.jpg?v=1626279953,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/melon-orange-handspun-mirror-work-shorts-straight-shorts-593333_160x.jpg?v=1626279953,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/melon-orange-handspun-mirror-work-shorts-straight-shorts-712699_160x.jpg?v=1626279953,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/melon-orange-handspun-mirror-work-shorts-straight-shorts-402935_160x.jpg?v=1626279953"
Cotton Beige Striped Paperbag Shorts  ,"Available for Waist 19"" - 63"" | Petite - Tall","Primary Fabric: 100% Cotton - Yarn Dyed,Pattern: Stripes,Color: Dusk Beige,Button Type: Metal,Style: Paperbag, Pleated,Length: Mid-Thigh Length,High Rise waist,Detached Belt at Waist,This garment has Inseam Pocket,Number of Pockets: 2,Garment Transparency: Opaque,Relaxed Fit,Concealed Zip at Side,Belt Loops ","3,550","https://cdn.shopify.com/s/files/1/0534/2501/2925/products/cotton-beige-striped-paperbag-shorts-paperbag-shorts-846996_160x.jpg?v=1625992611,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/cotton-beige-striped-paperbag-shorts-paperbag-shorts-553172_160x.jpg?v=1625992611,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/cotton-beige-striped-paperbag-shorts-paperbag-shorts-112570_160x.jpg?v=1625992611,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/cotton-beige-striped-paperbag-shorts-paperbag-shorts-910890_160x.jpg?v=1625992611,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/cotton-beige-striped-paperbag-shorts-paperbag-shorts-249864_160x.jpg?v=1625992611,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/cotton-beige-striped-paperbag-shorts-paperbag-shorts-364694_160x.jpg?v=1625992611"
Breezy Off-White Striped Mid-Rise Shorts  ,"Available for Waist 19"" - 63"" | Petite - Tall","Primary Fabric: 100% Cotton,This is a lined garment,Pattern: Solid, Stripes,Color: Off-white,Style: Short,Length: Mid-Thigh Length,Mid Rise waist,Half Elasticated Waist,This garment has Inseam Pocket,Number of Pockets: 2,Garment Transparency: Opaque,Comfort Fit,Box Pleats at Front","2,620","https://cdn.shopify.com/s/files/1/0534/2501/2925/products/breezy-off-white-striped-mid-rise-shorts-short-shorts-337767_160x.jpg?v=1611242488,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/breezy-off-white-striped-mid-rise-shorts-short-shorts-859021_160x.jpg?v=1611242488,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/breezy-off-white-striped-mid-rise-shorts-short-shorts-205108_160x.jpg?v=1611242488,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/breezy-off-white-striped-mid-rise-shorts-short-shorts-569563_160x.jpg?v=1611242488,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/breezy-off-white-striped-mid-rise-shorts-short-shorts-934231_160x.jpg?v=1611242488"
Olive Green Solid Cotton Short Shorts  ,"Available for Waist 19"" - 63"" | Petite - Tall","Primary Fabric: 100% Cotton,Pattern: Solid,Color: Olive Green,Style: Short,Length: Mid-Thigh Length,Mid Rise waist,Full Elasticated Waist,This garment has Slash Pocket, Mobile Pocket,Number of Pockets: 3,Garment Transparency: Opaque,Relaxed Fit","2,470","https://cdn.shopify.com/s/files/1/0534/2501/2925/products/olive-green-cotton-flax-short-shorts-short-shorts-451621_160x.jpg?v=1625847458,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/olive-green-cotton-flax-short-shorts-short-shorts-974059_160x.jpg?v=1625847458,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/olive-green-cotton-flax-short-shorts-short-shorts-621023_160x.jpg?v=1625847458,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/olive-green-cotton-flax-short-shorts-short-shorts-740813_160x.jpg?v=1625847458,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/olive-green-cotton-flax-short-shorts-short-shorts-526123_160x.jpg?v=1625847458"
Black Elasticated Short Cotton Boxers  ,"Available for Waist 19"" - 63"" | Petite - Tall","Craft: Bagru Hand Block Print,Primary Fabric: 100% Cotton - Natural Dyed, Hand Block Printed in Bagru (Rajasthan),Pattern: Geometric,Color: Black,Button Type: Shell,Style: Short, Boxers,Length: Micro Length,Mid Rise waist,Full Elasticated Waist,This garment has Slash Pocket,Number of Pockets: 2,Garment Transparency: Translucent,Comfort Fit,Elasticized Drawstring at Waist","2,140","https://cdn.shopify.com/s/files/1/0534/2501/2925/products/black-elasticated-short-boxers-short-shorts-591242_160x.jpg?v=1625848026,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/black-elasticated-short-boxers-short-shorts-815542_160x.jpg?v=1625848026,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/black-elasticated-short-boxers-short-shorts-596026_160x.jpg?v=1625848026,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/black-elasticated-short-boxers-short-shorts-468377_160x.jpg?v=1625848026,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/black-elasticated-short-boxers-short-shorts-922827_160x.jpg?v=1625848026"
Block Printed Mid-Rise Elasticated Shorts  ,"Available for Waist 19"" - 63"" | Petite - Tall","Craft: Sanganeri Hand Block Print,Primary Fabric: 100% Cotton - Azo-Free Dyed, Hand Block Printed in Sanganer (Rajasthan),This is a lined garment,Pattern: Floral, Contemporary,Color: White, Peach,Button Type: Shell,Lace: Block-Printed Lace,Style: Short, Straight ,Length: Micro Length,Mid Rise waist,Half Elasticated Waist, Attached Belt at Waist,This garment has Inseam Pocket,Number of Pockets: 2,Garment Transparency: Opaque,Relaxed Fit,Exposed Zip at Center Front","3,690","https://cdn.shopify.com/s/files/1/0534/2501/2925/products/straight-fit-belted-short-shorts-short-short-889155_160x.jpg?v=1625849414,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/straight-fit-belted-short-shorts-short-short-182816_160x.jpg?v=1625849414,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/straight-fit-belted-short-shorts-short-short-196280_160x.jpg?v=1625849414,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/straight-fit-belted-short-shorts-short-short-815533_160x.jpg?v=1625849414,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/straight-fit-belted-short-shorts-short-short-987011_160x.jpg?v=1625849414"
Mauve Cotton Corduroy Baggy Shorts  ,"Available for Waist 19"" - 63"" | Petite - Tall","Primary Fabric: 100% Cotton Corduroy,Pattern: Solid, Stripes,Color: Mauve,Button Type: Shell,Style: Baggy, Pleated,Length: Mid-Thigh Length,High Rise waist,Half Elasticated Waist,This garment has Slash Pocket,Number of Pockets: 2,Garment Transparency: Opaque,Comfort Fit,Exposed Zip at Front,Functional Specialty: Fold Up Hem","3,200","https://cdn.shopify.com/s/files/1/0534/2501/2925/products/mauve-cotton-corduroy-baggy-shorts-baggy-shorts-701908_160x.jpg?v=1625990578,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/mauve-cotton-corduroy-baggy-shorts-baggy-shorts-831988_160x.jpg?v=1625990578,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/mauve-cotton-corduroy-baggy-shorts-baggy-shorts-450708_160x.jpg?v=1625990578,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/mauve-cotton-corduroy-baggy-shorts-baggy-shorts-320004_160x.jpg?v=1625990578,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/mauve-cotton-corduroy-baggy-shorts-baggy-shorts-680357_160x.jpg?v=1625990578,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/mauve-cotton-corduroy-baggy-shorts-baggy-shorts-100693_160x.jpg?v=1625990578,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/mauve-cotton-corduroy-baggy-shorts-baggy-shorts-950871_160x.jpg?v=1625990578"
Beige Dabu Print Cotton Flared Shorts  ,"Available for Waist 19"" - 63"" | Petite - Tall","Craft: Dabu Hand-Lep Print,Primary Fabric: 100% Cotton - Natural Dyed, Hand Lep-ed in Bagru (Rajasthan),This garment is Hand Embroidered,Pattern: Solid, Contemporary,Color: Beige,Style: Flared,Length: Mid-Thigh Length,High Rise waist,Full Elasticated Waist,This garment has Slash Pocket, Rounded Pocket,Number of Pockets: 2,Garment Transparency: Opaque,Relaxed Fit","3,390","https://cdn.shopify.com/s/files/1/0534/2501/2925/products/beige-dabu-print-cotton-flared-shorts-flared-shorts-193530_160x.jpg?v=1625847290,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/beige-dabu-print-cotton-flared-shorts-flared-shorts-131156_160x.jpg?v=1625847290,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/beige-dabu-print-cotton-flared-shorts-flared-shorts-240543_160x.jpg?v=1625847290,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/beige-dabu-print-cotton-flared-shorts-flared-shorts-982308_160x.jpg?v=1625847290,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/beige-dabu-print-cotton-flared-shorts-flared-shorts-140936_160x.jpg?v=1625847290,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/beige-dabu-print-cotton-flared-shorts-flared-shorts-333072_160x.jpg?v=1625847290"
